developer,year,Cantidad,% free to play
+7 software,2016.0,1,0.00 %
"+mpact games, llc.",2017.0,1,0.00 %
.m.y.w.,2016.0,1,0.00 %
.ez games,2017.0,1,0.00 %
07th expansion,2015.0,2,0.00 %
07th expansion,2016.0,3,0.00 %
07th expansion,2017.0,3,0.00 %
08 games,2016.0,1,0.00 %
100 plus games llc,2017.0,1,0.00 %
100 stones interactive,2016.0,1,0.00 %
100 stones interactive,2017.0,3,0.00 %
10101 software,2016.0,1,0.00 %
10ft games,2017.0,1,0.00 %
10kbit games,2017.0,4,0.00 %
10ravens s.r.o.,2017.0,1,0.00 %
"10th art studio,adventure productions",2014.0,1,0.00 %
10tons ltd,2012.0,1,0.00 %
10tons ltd,2014.0,2,0.00 %
10tons ltd,2015.0,3,0.00 %
10tons ltd,2016.0,4,0.00 %
10tons ltd,2017.0,4,0.00 %
10x10 room,2017.0,2,0.00 %
11 bit studios,2011.0,1,0.00 %
11 bit studios,2013.0,4,0.00 %
11 bit studios,2014.0,2,0.00 %
11 bit studios,2015.0,1,0.00 %
11 bit studios,2016.0,1,0.00 %
12 east games,2017.0,1,0.00 %
12 hit combo,2016.0,1,0.00 %
1337 &amp; senri ab,2015.0,1,0.00 %
13am games,2016.0,4,0.00 %
14 dimension enterprise,2015.0,1,0.00 %
14 dimension enterprise,2016.0,1,0.00 %
14 dimension enterprise,2017.0,1,0.00 %
14 hours productions,2017.0,2,50.00 %
14° east,2001.0,1,0.00 %
16 swans,2017.0,1,0.00 %
16bit nights,2016.0,2,0.00 %
17-bit,2013.0,1,0.00 %
17-bit,2015.0,1,0.00 %
17studio,2016.0,1,0.00 %
1888 games,2016.0,1,0.00 %
1c company,2004.0,1,0.00 %
1c company,2007.0,1,0.00 %
1c company,2008.0,2,0.00 %
1c company,2009.0,4,0.00 %
1c company,2010.0,3,0.00 %
1c company,2011.0,2,0.00 %
"1c game studios,777 studios",2016.0,3,0.00 %
1c wireless,2014.0,2,0.00 %
1c wireless,2015.0,1,0.00 %
1c-avalon,2011.0,1,0.00 %
1c-softclub,2012.0,2,0.00 %
1c-softclub,2014.0,1,0.00 %
1c: maddox games,2006.0,1,0.00 %
1c: maddox games,2011.0,1,0.00 %
1c:inoco,2009.0,5,0.00 %
1c:inoco,2010.0,1,0.00 %
1c:inoco,2011.0,3,0.00 %
1cc games,2016.0,2,0.00 %
2 monkeys,2016.0,1,0.00 %
2 zombie games,2017.0,2,0.00 %
2 players,2016.0,1,0.00 %
2-volt games,2017.0,1,100.00 %
2015,2004.0,1,0.00 %
2020 venture,2016.0,1,0.00 %
20letpast,2017.0,1,0.00 %
22cans,2016.0,1,0.00 %
22cans,2017.0,1,0.00 %
24 caret games,2013.0,1,0.00 %
251 games,2014.0,1,0.00 %
26k,2017.0,1,0.00 %
29palms scenery design,2016.0,1,0.00 %
"29palms,jaranet",2017.0,1,0.00 %
2awesome studio,2017.0,1,0.00 %
2b_games,2016.0,1,0.00 %
2beats,2017.0,1,0.00 %
2bit studios,2016.0,1,0.00 %
"2chance projects,iichan eroge team",2015.0,1,100.00 %
"2chance projects,iichan eroge team",2017.0,1,0.00 %
2d boy,2008.0,1,0.00 %
"2d heroes,ursa games",2016.0,1,0.00 %
"2d heroes,ursa games",2017.0,1,0.00 %
2darray,2013.0,1,0.00 %
2dengine,2011.0,1,0.00 %
2dengine,2015.0,1,0.00 %
2dengine.com,2008.0,1,0.00 %
2dhd,2016.0,1,0.00 %
2dog games,2017.0,1,0.00 %
"2k australia,gearbox software,aspyr (mac &amp; linux)",2014.0,3,0.00 %
"2k australia,gearbox software,aspyr (mac &amp; linux)",2015.0,1,0.00 %
"2k australia,gearbox software,aspyr (mac and linux)",2014.0,1,0.00 %
"2k boston,2k australia",2007.0,1,0.00 %
"2k boston,2k australia,blind squirrel,feral interactive (mac)",2016.0,1,0.00 %
2k czech,2010.0,4,0.00 %
"2k czech,feral interactive (mac)",2010.0,3,0.00 %
"2k czech,feral interactive (mac)",2011.0,1,0.00 %
2k marin,2013.0,4,0.00 %
"2k marin,2k china,digital extremes,2k australia,blind squirrel",2016.0,2,0.00 %
"2k marin,2k china,digital extremes,2k australia,feral interactive (mac)",2010.0,1,0.00 %
2pi interactive pvt. ltd.,2016.0,1,0.00 %
2play,2013.0,1,0.00 %
"2play,fredrik häthén music",2017.0,1,0.00 %
"2play,prasius",2017.0,1,0.00 %
2sd,2015.0,2,0.00 %
"2xl games,blitworks",2017.0,1,0.00 %
2by3 games,2010.0,1,0.00 %
2by3 games,2012.0,1,0.00 %
2by3 games,2013.0,1,0.00 %
2by3 games,2014.0,1,0.00 %
2by3 games,2015.0,1,0.00 %
2x2 games,2012.0,2,0.00 %
2x2 games,2013.0,1,0.00 %
2xmilk,2017.0,2,0.00 %
3 core studio,2013.0,1,0.00 %
3 fright,2016.0,2,0.00 %
3 minute games,2017.0,1,0.00 %
3 sprockets,2012.0,1,0.00 %
3 sprockets,2013.0,1,0.00 %
3 sprockets,2014.0,1,0.00 %
3 sprockets,2017.0,1,0.00 %
30.06 studios ltd,2014.0,1,0.00 %
300 fps,2017.0,1,0.00 %
3000ad,2009.0,2,0.00 %
3000ad,2014.0,3,0.00 %
3000ad,2015.0,2,0.00 %
3100 games,2016.0,1,0.00 %
313 studios,2017.0,1,0.00 %
314 arts,2016.0,1,0.00 %
"343 industries,vanguard games",2014.0,1,0.00 %
34bigthings srl,2015.0,1,0.00 %
34bigthings srl,2016.0,2,0.00 %
34bigthings srl,2017.0,5,0.00 %
373vfs greg,2017.0,1,0.00 %
"38,9_degrees",2017.0,4,0.00 %
3909,2013.0,1,0.00 %
3crew,2016.0,1,0.00 %
3d avenue,2016.0,2,0.00 %
3d realms,1996.0,1,100.00 %
3d realms (apogee software),1990.0,2,0.00 %
3d realms (apogee software),1991.0,3,0.00 %
3d realms (apogee software),1992.0,2,0.00 %
3d realms (apogee software),1993.0,3,0.00 %
3d realms (apogee software),1994.0,1,0.00 %
3d realms (apogee software),1995.0,1,0.00 %
3d realms (apogee software),1997.0,1,0.00 %
3d2 entertainment,2017.0,2,0.00 %
3dclouds.it,2017.0,2,0.00 %
3dduo,2016.0,5,0.00 %
3dduo,2017.0,3,0.00 %
3dflow srl,2016.0,1,0.00 %
3division,2016.0,4,0.00 %
3gogames,2017.0,1,0.00 %
3f interactive,2012.0,1,0.00 %
3f interactive,2013.0,1,0.00 %
3y3.net,2017.0,1,0.00 %
4 door lemon,2016.0,1,0.00 %
4 friends games,2017.0,2,0.00 %
4 head studios,2006.0,1,0.00 %
4 head studios,2007.0,1,0.00 %
4 i lab,2016.0,3,33.33 %
4 i lab,2017.0,1,0.00 %
4-panel footprint,2015.0,2,0.00 %
40ggames,2017.0,1,0.00 %
48h studio,2014.0,1,0.00 %
49 games,2007.0,1,0.00 %
49 games,2008.0,1,0.00 %
4a games,2014.0,2,0.00 %
4bit games,2015.0,1,0.00 %
4d door games,2017.0,2,0.00 %
"4edgesgames,visumeca",2016.0,1,0.00 %
4freaksfiction,2017.0,1,0.00 %
4friends games,2015.0,1,0.00 %
4head studios,2002.0,1,0.00 %
4head studios,2008.0,1,0.00 %
4netgames,2015.0,1,0.00 %
4realms,2015.0,1,0.00 %
4sky game studio,2017.0,1,0.00 %
4gency,2016.0,1,0.00 %
4sdk,2010.0,1,0.00 %
4th cluster,2016.0,1,0.00 %
4th cluster,2017.0,2,100.00 %
5 bits games,2014.0,1,0.00 %
5 lives studios,2015.0,4,0.00 %
505 games,2013.0,3,0.00 %
51pegasi studios,2016.0,1,0.00 %
"51pegasi studios,connor lourenco",2017.0,1,0.00 %
55 revolver,2016.0,1,0.00 %
5wolf,2016.0,2,0.00 %
