id_user,Cantidad_items,Dinero_gastado,recommend
--000--,48,402.77000000000004,No hay reseñas.
--ace--,38,166.82,100.00 %
--ionex--,19,109.92,100.00 %
-2SV-vuLB-Kg,53,437.49,100.00 %
-404PageNotFound-,112,1514.31,No hay reseñas.
-AnimeIsMyThing-,89,1199.43,No hay reseñas.
-Azsael-,138,2461.68,100.00 %
-Beave-,40,54.95,No hay reseñas.
-Encore-,22,287.78,No hay reseñas.
-GM-Dragon,83,822.47,50.00 %
-I_AM_EPIC-,15,129.94,No hay reseñas.
-JT,20,229.85999999999999,No hay reseñas.
-Kenny,105,1563.12,100.00 %
-KillZone-,91,1225.28,No hay reseñas.
-Mad-,305,3680.18,100.00 %
-Naughty-,50,482.75,No hay reseñas.
-PRoSlayeR-,433,2540.33,50.00 %
-SEVEN-,297,3641.04,100.00 %
-SatansLittleHelper-,24,323.78000000000003,100.00 %
-Thyme-,37,519.68,No hay reseñas.
-Ultrix,119,1467.68,100.00 %
-Uplink-,101,1516.1699999999998,No hay reseñas.
-Zovix-,31,224.87,No hay reseñas.
-_PussyDestroyer_-,46,360.68,50.00 %
-_skIzZ_-,31,374.81,No hay reseñas.
-fastrvrs-,15,195.89,No hay reseñas.
-iBubble,14,127.88,No hay reseñas.
-kainey9777,56,1027.53,100.00 %
-xKyox-,41,195.85,No hay reseñas.
0-3-0,119,1639.9399999999998,100.00 %
00000000000000000001227,78,1072.28,100.00 %
00000003010,51,331.7,No hay reseñas.
0000FF,18,144.91,No hay reseñas.
000Infinity000,21,109.97,No hay reseñas.
001000111000111000010,57,753.4,No hay reseñas.
001002130882,2,14.99,No hay reseñas.
001010001,37,325.81,No hay reseñas.
0041287,27,144.92,No hay reseñas.
00454211432342,23,137.88,No hay reseñas.
005577,199,2926.25,No hay reseñas.
00690069006900,86,801.35,100.00 %
0071945,338,4970.8,No hay reseñas.
007james_bond,148,2128.6,No hay reseñas.
007thesilence,41,596.67,No hay reseñas.
00810cccyyykkk,6,19.98,100.00 %
008port,59,418.67,No hay reseñas.
0099654321891111,20,188.86,100.00 %
00True,23,302.86,100.00 %
00nana,7,29.98,No hay reseñas.
01001000-01101001,79,1338.21,100.00 %
010195345,1,0.0,No hay reseñas.
0102705195,2,0.0,No hay reseñas.
010607,24,220.79999999999998,No hay reseñas.
011000100001000111,62,851.31,No hay reseñas.
011011010111001000101110,21,101.88,No hay reseñas.
011111135489484797,2,29.979999999999997,No hay reseñas.
01120477677,23,233.88,No hay reseñas.
0112937783,26,434.8,No hay reseñas.
01189958889189157253,140,1869.74,100.00 %
0118999881999119,112,1314.94,No hay reseñas.
01221733,91,563.6,100.00 %
0136849195,27,133.91,100.00 %
01398279857934,9,14.99,No hay reseñas.
018302,36,507.66999999999996,No hay reseñas.
01shan,4,24.98,100.00 %
0212030,5,104.94999999999999,No hay reseñas.
022899,62,1163.38,100.00 %
0248359,8,223.88,No hay reseñas.
025652,1,0.0,No hay reseñas.
0271975108,47,694.67,No hay reseñas.
0305089,82,587.55,No hay reseñas.
03092002,22,255.89,100.00 %
03375616256,1,9.99,No hay reseñas.
0402593613,4,19.98,No hay reseñas.
04061993,138,1019.3,No hay reseñas.
04092013,97,622.0799999999999,No hay reseñas.
041112016,80,1379.26,No hay reseñas.
0412734634,18,59.96,100.00 %
0412827540,24,149.9,No hay reseñas.
042153100,95,1547.21,0.00 %
0421874858,28,342.78999999999996,No hay reseñas.
04280122,84,1265.1499999999999,No hay reseñas.
0432-026-no,13,79.93,100.00 %
04536829290339393838,23,130.89,No hay reseñas.
0468313256,52,99.88,100.00 %
0488456,16,249.86,No hay reseñas.
05041129,31,138.89,66.67 %
05461025,48,560.59,100.00 %
05511301,135,1582.72,No hay reseñas.
05zhehan,12,89.94999999999999,No hay reseñas.
066600,54,468.8,No hay reseñas.
0700464574757,40,383.71999999999997,No hay reseñas.
07846813956825,73,1156.31,No hay reseñas.
0814551,42,176.88,No hay reseñas.
0827777,9,0.99,No hay reseñas.
0854029092,2,19.99,No hay reseñas.
0862770364,18,148.92000000000002,No hay reseñas.
0896398616,143,1124.68,No hay reseñas.
0898786879898,4,69.96,No hay reseñas.
08alross,264,4160.64,No hay reseñas.
0903512455,31,199.85,100.00 %
09106,148,1212.07,100.00 %
091263,293,3098.59,No hay reseñas.
092982943,23,94.92999999999999,No hay reseñas.
0935659130,46,471.75,No hay reseñas.
094553552,66,694.54,No hay reseñas.
095732,28,179.86,66.67 %
095843067,206,2705.57,100.00 %
098765432108642,11,179.91,No hay reseñas.
09876543231,20,215.82999999999998,No hay reseñas.
098766catdogbnmnnn,37,227.84,100.00 %
09895749373554,28,345.74,No hay reseñas.
0996633,41,606.69,No hay reseñas.
0FI3MWAJS2849023N,29,336.77,No hay reseñas.
0fficiaIfIaw,19,38.97,No hay reseñas.
0nlyb0nes,14,224.91,No hay reseñas.
0rangeZ3r0,25,143.88,No hay reseñas.
0x0B00B135,48,505.61,No hay reseñas.
0x426F,131,1733.82,No hay reseñas.
1-800-Invisible,476,5846.98,No hay reseñas.
10000000thVisitor,93,1105.18,No hay reseñas.
1000000sdsd,19,59.96,No hay reseñas.
100011101011,23,347.84,No hay reseñas.
1000jaus,39,642.64,No hay reseñas.
1001101001110101,251,3403.6,0.00 %
100355,36,524.66,No hay reseñas.
10051997,96,1254.16,100.00 %
10101010101010109,262,3769.07,No hay reseñas.
101010101111,32,382.8,No hay reseñas.
101010102,8,70.93,No hay reseñas.
1010102,39,223.85,No hay reseñas.
101013483181348,7,14.99,No hay reseñas.
1010231464,6,44.97,No hay reseñas.
1011001,107,1228.16,88.89 %
1011010101101101010101,44,644.52,No hay reseñas.
1011012001,12,49.96,No hay reseñas.
101316,18,254.84,No hay reseñas.
1016523030,5,0.0,100.00 %
101676057,20,270.86,No hay reseñas.
10197226,34,276.73,100.00 %
101thegreenguy,89,1277.59,No hay reseñas.
102547508,12,24.979999999999997,No hay reseñas.
102598615,35,166.85,100.00 %
1032165460,6,64.95,No hay reseñas.
1052218979baidu,17,242.85999999999999,No hay reseñas.
10817,27,339.79,No hay reseñas.
109284293753647,116,1842.8999999999999,No hay reseñas.
10936543792,101,1038.24,100.00 %
10948278193,29,69.96,No hay reseñas.
109leonidas,131,1841.86,No hay reseñas.
10Degree,130,1323.04,100.00 %
10gp,16,169.89,No hay reseñas.
10outof10matee,44,604.62,No hay reseñas.
10oyard,15,209.88,100.00 %
11010011011,118,1617.99,No hay reseñas.
1101167413,38,533.65,No hay reseñas.
110211021,66,488.62,50.00 %
110321565469,60,822.98,No hay reseñas.
1103703132946,55,727.54,No hay reseñas.
111190869,53,803.55,100.00 %
111222333222111,19,279.82,No hay reseñas.
111222333444555666888,43,580.68,No hay reseñas.
11123xxx3122,8,59.95,No hay reseñas.
11124,35,445.7,0.00 %
11141995,39,571.57,No hay reseñas.
111s,204,2286.21,No hay reseñas.
111zerosen,52,419.52,No hay reseñas.
1122305938,147,2394.74,100.00 %
112asdasfasdasd,19,0.0,100.00 %
11345678,27,252.85,No hay reseñas.
113595,71,1064.3999999999999,100.00 %
1136579070,65,686.5899999999999,100.00 %
11464789,30,306.78000000000003,No hay reseñas.
11567jj,83,466.74,100.00 %
1163321,46,361.81,No hay reseñas.
117007,11,129.92,No hay reseñas.
117331,57,346.74,100.00 %
117a2,7,119.92999999999999,No hay reseñas.
117arbiter,121,1665.48,100.00 %
11925219096,52,727.6,100.00 %
119922883377446655123456789,47,268.81,No hay reseñas.
11XGX,189,2705.2999999999997,50.00 %
12021988,2,0.0,No hay reseñas.
120445,101,935.77,No hay reseñas.
120488700,16,264.92,No hay reseñas.
12110604,14,194.89,No hay reseñas.
1212343456567878909,24,340.82,No hay reseñas.
12123871234989120,30,147.88,No hay reseñas.
12125,107,1352.1599999999999,100.00 %
1214551565454556,2,0.0,No hay reseñas.
121478,112,1634.18,No hay reseñas.
121598558,7,0.0,No hay reseñas.
12223536,152,2115.87,No hay reseñas.
122249_700b,32,318.74,No hay reseñas.
122799,15,54.97,No hay reseñas.
123123123131231231,32,295.87,100.00 %
12312312332123,26,210.85,100.00 %
12312341244123,36,524.76,No hay reseñas.
1231343263534243534,39,540.65,No hay reseñas.
123232343432555686888554456555,49,628.66,No hay reseñas.
1232999,49,732.67,No hay reseñas.
12332165478953761,52,763.51,No hay reseñas.
1233451231252123,64,204.91000000000003,No hay reseñas.
1233zaazen,26,390.8,No hay reseñas.
12341008,2,14.99,No hay reseñas.
12341846,23,301.77,No hay reseñas.
1234321115,38,524.68,No hay reseñas.
1234455565,1,19.99,No hay reseñas.
12345123456,29,312.82,No hay reseñas.
1234567124567,27,444.75,No hay reseñas.
12345676543456789098543,58,442.7,100.00 %
1234567810132,40,144.85,No hay reseñas.
123456787654329,114,1587.91,No hay reseñas.
12345678901234567890123456567890,182,2874.36,80.00 %
1234567890192837465,85,865.51,100.00 %
1234567890qweccrtht,32,377.78999999999996,No hay reseñas.
1234567890qwertyuiop,2,34.98,No hay reseñas.
12345678910123,2,4.99,No hay reseñas.
12345678910a,68,1168.3899999999999,100.00 %
1234567898354127873,8,44.95,No hay reseñas.
123456789874561232145678,234,2852.08,100.00 %
123456789_Kappa,30,410.25,No hay reseñas.
123456789diamond987654321,60,705.53,100.00 %
1234567io9872345678765432,131,1361.07,100.00 %
12345gh,9,204.92000000000002,No hay reseñas.
1234865654,66,463.64,100.00 %
1234derpaa,35,434.72999999999996,No hay reseñas.
12391939123,106,839.89,100.00 %
12398uf8jg21390,32,312.77,100.00 %
12399017,22,160.82999999999998,No hay reseñas.
123abc321,1,0.0,No hay reseñas.
123abccba,74,1035.4,No hay reseñas.
123amazing123,37,320.84,No hay reseñas.
123curssin123,44,409.81,No hay reseñas.
123franz789,11,54.97,No hay reseñas.
123joshua321,78,945.29,100.00 %
123repulseMe,122,1097.24,100.00 %
123sharpshooter123,1,0.0,No hay reseñas.
1242163634531636,2,9.98,No hay reseñas.
12435674325tyughnb,34,480.71999999999997,No hay reseñas.
12435gg,83,487.68,No hay reseñas.
124653tf,4,129.97,No hay reseñas.
124681,2,19.99,No hay reseñas.
1249012512908890112890,56,750.0699999999999,No hay reseñas.
124c7937,2,0.0,No hay reseñas.
12524,64,298.8,No hay reseñas.
12536475869trhgsdf,77,559.46,100.00 %
12549,51,228.87,No hay reseñas.
12779,95,797.47,66.67 %
128463821947,6,69.97,No hay reseñas.
12874175635ELITE,2,4.99,No hay reseñas.
128bitbit,48,144.9,No hay reseñas.
1294120970512,44,515.67,No hay reseñas.
129874182,127,1775.6599999999999,100.00 %
12DeAgostoAs12HRSe26MIN,31,280.78,No hay reseñas.
12_gauge_org,42,292.88,100.00 %
12das,14,44.96,No hay reseñas.
1300655506nigga,35,312.72,100.00 %
13012,102,1357.2,No hay reseñas.
131312,99,1742.83,No hay reseñas.
1313Lcf,130,2007.85,No hay reseñas.
131467132,44,453.76,100.00 %
13199708,118,1903.8899999999999,No hay reseñas.
1321742413,49,243.84,50.00 %
132413244231,33,376.76,No hay reseñas.
13272310,23,84.97,No hay reseñas.
13371337133713337,10,144.96,No hay reseñas.
133742069174,73,1033.5,100.00 %
1337666133766613376661337,100,1397.1299999999999,100.00 %
133774553644535355354,4,9.99,No hay reseñas.
1337Akraken,91,1153.34,No hay reseñas.
1337_K_REW,32,84.95,100.00 %
1337_Speak,224,2630.13,No hay reseñas.
1337hunter,61,618.4,No hay reseñas.
1337leetSloth,3,39.97,No hay reseñas.
1337lolroflmao,159,1961.79,100.00 %
1337mlg,87,495.53999999999996,No hay reseñas.
1337putin,83,1062.31,100.00 %
1343534566,21,227.85,100.00 %
13457856281,34,317.76,100.00 %
1345adfg,5,0.0,No hay reseñas.
134679jc333,13,64.95,No hay reseñas.
135781,53,913.4399999999999,100.00 %
1373648137417,132,1623.95,No hay reseñas.
137731251236671466147,334,5294.21,No hay reseñas.
13971397,187,2844.41,100.00 %
1398199813,3,9.99,No hay reseñas.
13lazer,357,5578.28,No hay reseñas.
13omadragon,28,224.88,No hay reseñas.
13salva,52,598.61,No hay reseñas.
1408129010,30,244.89,No hay reseñas.
142331415,144,1715.6399999999999,No hay reseñas.
142412412124142,2,0.0,No hay reseñas.
14372193,86,344.81,100.00 %
143865,47,419.76,No hay reseñas.
1440454,61,638.5799999999999,100.00 %
144289919655093823,40,512.63,No hay reseñas.
1452221660414,111,1689.93,No hay reseñas.
1454235887,3,0.0,No hay reseñas.
145578,77,1030.95,No hay reseñas.
1456237,25,412.74,No hay reseñas.
1457184935981,23,172.88,100.00 %
146847798098,23,49.97,No hay reseñas.
14725836900,17,134.91,100.00 %
14747,152,1896.57,No hay reseñas.
147532984,82,924.5,100.00 %
147751,10,202.85999999999999,No hay reseñas.
14789633698741,310,4572.11,No hay reseñas.
148203604,4,0.0,No hay reseñas.
150010792,92,156.84,100.00 %
150230,138,1886.6,No hay reseñas.
1513412123111331,16,147.85,No hay reseñas.
151995,15,134.91,No hay reseñas.
1522188745,60,547.62,No hay reseñas.
1540359,11,75.96000000000001,No hay reseñas.
154352,53,444.71999999999997,100.00 %
1546328127418,20,329.88,0.00 %
154930493,31,427.82,100.00 %
15511551,133,1123.09,100.00 %
155754572,18,114.92999999999999,No hay reseñas.
15632897,214,3256.09,No hay reseñas.
157645,440,4856.7,No hay reseñas.
15832789427,84,1090.48,100.00 %
1591240764,87,377.0,No hay reseñas.
15934,106,1699.12,100.00 %
159zse159,354,5034.75,100.00 %
1607426135,11,39.96,No hay reseñas.
1626466724893520,50,584.68,100.00 %
163050995,11,0.0,100.00 %
16362426247,58,528.6,No hay reseñas.
16395,10,59.959999999999994,No hay reseñas.
16538,115,2497.72,100.00 %
16748438,13,274.88,No hay reseñas.
169420666,47,327.73,100.00 %
17-04-2000,68,557.67,No hay reseñas.
17101710,115,1467.82,85.71 %
1711338513531,23,210.85,No hay reseñas.
171516,167,1561.96,83.33 %
1726432,9,189.96,No hay reseñas.
17291799,14,154.92,100.00 %
172954833,18,0.0,No hay reseñas.
173902,1,9.99,No hay reseñas.
1739902091026,58,266.8,No hay reseñas.
174561864923145,44,457.71,No hay reseñas.
174gamecuman700kngkakak,133,1329.2,No hay reseñas.
17731773,37,310.71,No hay reseñas.
177652,21,494.76,No hay reseñas.
17829463213,56,424.8,No hay reseñas.
1800-Ricohut,90,1019.31,75.00 %
1800FkMyVajj,5,14.99,No hay reseñas.
18023009,1,14.99,No hay reseñas.
180577,51,583.58,100.00 %
18082001,84,685.27,No hay reseñas.
18228272828,120,1637.11,100.00 %
182748927838783778382,16,120.9,No hay reseñas.
182828282,34,484.7,No hay reseñas.
18283848,58,976.49,No hay reseñas.
1829369648,1,0.0,No hay reseñas.
18481,136,2134.78,100.00 %
1850172512752815,25,147.41,No hay reseñas.
18504965711,64,1046.44,No hay reseñas.
1859082899,15,68.95,No hay reseñas.
1870380085,33,298.79,No hay reseñas.
1873410337,29,384.82,100.00 %
1875489156748,41,386.73,100.00 %
187625,105,395.62,66.67 %
18855881,169,3013.14,No hay reseñas.
1889999999999999,29,249.91,No hay reseñas.
19-20-5-20-27-5-18,27,154.88,100.00 %
190120001826,2,0.0,No hay reseñas.
1920410,71,1099.42,No hay reseñas.
19210801,50,220.85,No hay reseñas.
1922001,70,510.1,No hay reseñas.
1930234,50,591.69,No hay reseñas.
19365,87,1421.15,No hay reseñas.
19372250,120,1963.8899999999999,No hay reseñas.
1937648259137856lkjnoik,7,44.96,No hay reseñas.
1944086851,12,64.95,No hay reseñas.
1947CARROTS,21,104.93,No hay reseñas.
194847383,81,954.3199999999999,100.00 %
1956aa1,98,1587.42,50.00 %
195862,55,625.64,100.00 %
19702316748,82,942.3,No hay reseñas.
19720911,3,0.0,No hay reseñas.
19820182123,9,169.94,No hay reseñas.
1994dbc,160,2084.72,No hay reseñas.
1997-07-06_J077,4,29.98,No hay reseñas.
19990923,37,229.89999999999998,100.00 %
199A,21,138.91,No hay reseñas.
19te_Polska,63,984.42,100.00 %
1BUCK80,23,329.86,No hay reseñas.
1GN33L,13,224.88,No hay reseñas.
1MLG2U,52,350.57,100.00 %
